Date,Clicks,Impressions,CTR,Position
2026-06-19,14,114,12.28%,9.8
2026-06-20,9,113,7.96%,8.6
2026-06-21,9,101,8.91%,8.7
2026-06-22,18,120,15%,8.6
2026-06-23,13,72,18.06%,6.7
2026-06-24,18,85,21.18%,8.8
2026-06-25,1,81,1.23%,19
2026-06-26,18,102,17.65%,10
2026-06-27,13,112,11.61%,11.5
2026-06-28,6,83,7.23%,17.1
2026-06-29,7,109,6.42%,15.4
2026-06-30,11,84,13.1%,13.3
2026-07-01,6,67,8.96%,6.8
2026-07-02,7,78,8.97%,9.1
2026-07-03,10,91,10.99%,12.6
2026-07-04,8,77,10.39%,9.3
2026-07-05,6,48,12.5%,12.3
2026-07-06,13,108,12.04%,7.8
2026-07-07,7,82,8.54%,13.7
2026-07-08,7,61,11.48%,10.4
2026-07-09,12,90,13.33%,12
2026-07-10,9,79,11.39%,11.8
2026-07-11,11,97,11.34%,17.3
2026-07-12,10,73,13.7%,9.5
2026-07-13,7,96,7.29%,11.8
2026-07-14,8,64,12.5%,7.1
2026-07-15,12,74,16.22%,6.2
2026-07-16,5,55,9.09%,7.6
2026-07-17,5,88,5.68%,11.9
2026-07-18,1,89,1.12%,10
2026-07-19,8,42,19.05%,9.2
2026-07-20,8,75,10.67%,7.2
2026-07-21,5,59,8.47%,9.1
2026-07-22,10,65,15.38%,8.3
2026-07-23,5,96,5.21%,20.5
2026-07-24,9,86,10.47%,10.2
2026-07-25,11,82,13.41%,9.5
2026-07-26,7,49,14.29%,10.8
2026-07-27,9,92,9.78%,8.8
2026-07-28,12,70,17.14%,6.9
2026-07-29,8,83,9.64%,8
2026-07-30,16,97,16.49%,7.8
2026-07-31,4,78,5.13%,12.6
2026-08-01,10,90,11.11%,9.3
2026-08-02,5,64,7.81%,9.3
2026-08-03,7,75,9.33%,6.9
2026-08-04,4,67,5.97%,8.1
2026-08-05,5,61,8.2%,7.8
2026-08-06,5,75,6.67%,9
2026-08-07,14,81,17.28%,7.8
2026-08-08,15,100,15%,11.7
2026-08-09,6,63,9.52%,9.1
2026-08-10,15,93,16.13%,10.4
2026-08-11,3,57,5.26%,11.9
2026-08-12,8,63,12.7%,13.8
2026-08-13,7,64,10.94%,12.6
2026-08-14,6,74,8.11%,11.6
2026-08-15,5,79,6.33%,8.8
2026-08-16,9,61,14.75%,11.1
2026-08-17,5,79,6.33%,12.4
2026-08-18,9,76,11.84%,9.7
2026-08-19,9,67,13.43%,15
2026-08-20,17,90,18.89%,10.5
2026-08-21,11,77,14.29%,8.8
2026-08-22,12,120,10%,12.1
2026-08-23,7,79,8.86%,8.5
2026-08-24,9,110,8.18%,13.2
2026-08-25,4,60,6.67%,6.8
2026-08-26,3,64,4.69%,8.5
2026-08-27,9,87,10.34%,11.9
2026-08-28,9,100,9%,8.6
2026-08-29,9,99,9.09%,10.6
2026-08-30,4,65,6.15%,11.4
2026-08-31,12,98,12.24%,7.9
2026-09-01,15,94,15.96%,7.7
2026-09-02,11,100,11%,6
2026-09-03,3,78,3.85%,10.7
2026-09-04,8,78,10.26%,7
2026-09-05,9,129,6.98%,15.9
2026-09-06,4,79,5.06%,10
2026-09-07,9,95,9.47%,11.9
2026-09-08,7,106,6.6%,7.9
2026-09-09,11,110,10%,10.2
2026-09-10,7,56,12.5%,6.8
2026-09-11,9,67,13.43%,9.3
2026-09-12,4,85,4.71%,7.2
2026-09-13,1,38,2.63%,9.1
2026-09-14,5,90,5.56%,8.3
2026-09-15,6,124,4.84%,20.9
2026-09-16,3,65,4.62%,8
2026-09-17,10,83,12.05%,6.6
2026-09-18,2,85,2.35%,6.1
