Top pages,Clicks,Impressions,CTR,Position
http://dragncycles.com/,568,4290,13.24%,5.4
https://dragncycles.com/,142,4892,2.9%,11.13
"https://dragncycles.com/$5,000-$9,000",50,1129,4.43%,3.1
"https://dragncycles.com/$5,000-and-less",19,900,2.11%,2.88
https://dragncycles.com/apparel,11,1242,0.89%,2.74
"https://dragncycles.com/bikes-$5,000-and-less",7,346,2.02%,3.37
https://dragncycles.com/contact-us,6,1465,0.41%,3.41
https://dragncycles.com/repair-shop,6,1291,0.46%,3.65
https://dragncycles.com/financing/leasing,6,884,0.68%,4.19
https://dragncycles.com/faqs,2,730,0.27%,3.34
"https://dragncycles.com/bikes-$9,000-and-up",2,80,2.5%,3.31
https://dragncycles.com/touring-1,1,297,0.34%,3.45
"https://dragncycles.com/bikes-$5,000-$9,000",1,29,3.45%,4.14
https://dragncycles.com/soft-tail,0,42,0%,13.9
https://dragncycles.com/trikes,0,27,0%,2.41
https://dragncycles.com/dyna,0,14,0%,14.21
"https://dragncycles.com/>$9,000",0,12,0%,4.58
https://dragncycles.com/chopper,0,10,0%,10.2
https://dragncycles.com/sportster,0,9,0%,37.22
https://dragncycles.com/foreign,0,4,0%,7.75
https://dragncycles.com/privacy-policy,0,4,0%,38.25
https://dragncycles.com/seats,0,1,0%,6
