query,clicks,impressions,ctr,position
dragon cycles frankfort ky,142,387,36.69%,1.22
dragon cycles,50,199,25.13%,1.75
drag n cycles,47,112,41.96%,2.29
drag'n cycles,43,91,47.25%,1.01
motorcycle shops near me,17,205,8.29%,7.53
dragon cycle,15,98,15.31%,2.15
dragn cycles,15,43,34.88%,1.02
motorcycle dealers near me,8,37,21.62%,7.68
motorcycle,5,34,14.71%,7.06
motorcycle shop near me,4,57,7.02%,8.46
motorcycles for sale,4,36,11.11%,10.83
drag cycles,3,56,5.36%,3.66
dragon cycles frankfort kentucky,3,23,13.04%,1
motorcycle dealers,3,15,20%,12.27
used motorcycles,3,13,23.08%,6.85
